zip3,BlackConcentration,weight,direction,SES_group
007,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
011,High,1.0,BlackConcentration (matched on SES_group),
071,High,1.0,BlackConcentration (matched on SES_group),
072,High,1.0,BlackConcentration (matched on SES_group),
075,High,1.0,BlackConcentration (matched on SES_group),
081,High,1.0,BlackConcentration (matched on SES_group),
084,High,1.0,BlackConcentration (matched on SES_group),
104,High,1.0,BlackConcentration (matched on SES_group),
132,High,1.0,BlackConcentration (matched on SES_group),
135,High,1.0,BlackConcentration (matched on SES_group),
143,High,1.0,BlackConcentration (matched on SES_group),
147,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
167,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
191,High,1.0,BlackConcentration (matched on SES_group),
235,High,1.0,BlackConcentration (matched on SES_group),
237,High,1.0,BlackConcentration (matched on SES_group),
239,High,1.0,BlackConcentration (matched on SES_group),
250,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
252,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
262,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
263,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
264,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
266,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
267,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
271,High,1.0,BlackConcentration (matched on SES_group),
272,High,1.0,BlackConcentration (matched on SES_group),
274,High,1.0,BlackConcentration (matched on SES_group),
278,High,1.0,BlackConcentration (matched on SES_group),
283,High,1.0,BlackConcentration (matched on SES_group),
285,High,1.0,BlackConcentration (matched on SES_group),
289,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
291,High,1.0,BlackConcentration (matched on SES_group),
293,High,1.0,BlackConcentration (matched on SES_group),
295,High,1.0,BlackConcentration (matched on SES_group),
298,High,1.0,BlackConcentration (matched on SES_group),
304,High,1.0,BlackConcentration (matched on SES_group),
306,High,1.0,BlackConcentration (matched on SES_group),
309,High,1.0,BlackConcentration (matched on SES_group),
310,High,1.0,BlackConcentration (matched on SES_group),
312,High,1.0,BlackConcentration (matched on SES_group),
314,High,1.0,BlackConcentration (matched on SES_group),
315,High,1.0,BlackConcentration (matched on SES_group),
316,High,1.0,BlackConcentration (matched on SES_group),
317,High,1.0,BlackConcentration (matched on SES_group),
319,High,1.0,BlackConcentration (matched on SES_group),
323,High,1.0,BlackConcentration (matched on SES_group),
324,High,1.0,BlackConcentration (matched on SES_group),
326,High,1.0,BlackConcentration (matched on SES_group),
328,High,1.0,BlackConcentration (matched on SES_group),
330,High,1.0,BlackConcentration (matched on SES_group),
331,High,1.0,BlackConcentration (matched on SES_group),
336,High,1.0,BlackConcentration (matched on SES_group),
338,High,1.0,BlackConcentration (matched on SES_group),
344,High,1.0,BlackConcentration (matched on SES_group),
349,High,1.0,BlackConcentration (matched on SES_group),
354,High,1.0,BlackConcentration (matched on SES_group),
356,High,1.0,BlackConcentration (matched on SES_group),
362,High,1.0,BlackConcentration (matched on SES_group),
363,High,1.0,BlackConcentration (matched on SES_group),
364,High,1.0,BlackConcentration (matched on SES_group),
366,High,1.0,BlackConcentration (matched on SES_group),
367,High,1.0,BlackConcentration (matched on SES_group),
368,High,1.0,BlackConcentration (matched on SES_group),
369,High,1.0,BlackConcentration (matched on SES_group),
374,High,1.0,BlackConcentration (matched on SES_group),
377,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
378,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
381,High,1.0,BlackConcentration (matched on SES_group),
383,High,1.0,BlackConcentration (matched on SES_group),
385,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
386,High,1.0,BlackConcentration (matched on SES_group),
391,High,1.0,BlackConcentration (matched on SES_group),
392,High,1.0,BlackConcentration (matched on SES_group),
394,High,1.0,BlackConcentration (matched on SES_group),
395,High,1.0,BlackConcentration (matched on SES_group),
397,High,1.0,BlackConcentration (matched on SES_group),
398,High,1.0,BlackConcentration (matched on SES_group),
407,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
408,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
411,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
412,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
413,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
414,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
415,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
416,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
417,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
418,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
422,High,1.0,BlackConcentration (matched on SES_group),
425,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
432,High,1.0,BlackConcentration (matched on SES_group),
436,High,1.0,BlackConcentration (matched on SES_group),
438,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
441,High,1.0,BlackConcentration (matched on SES_group),
443,High,1.0,BlackConcentration (matched on SES_group),
445,High,1.0,BlackConcentration (matched on SES_group),
447,High,1.0,BlackConcentration (matched on SES_group),
449,High,1.0,BlackConcentration (matched on SES_group),
455,High,1.0,BlackConcentration (matched on SES_group),
457,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
462,High,1.0,BlackConcentration (matched on SES_group),
464,High,1.0,BlackConcentration (matched on SES_group),
466,High,1.0,BlackConcentration (matched on SES_group),
474,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
482,High,1.0,BlackConcentration (matched on SES_group),
485,High,1.0,BlackConcentration (matched on SES_group),
486,High,1.0,BlackConcentration (matched on SES_group),
489,High,1.0,BlackConcentration (matched on SES_group),
532,High,1.0,BlackConcentration (matched on SES_group),
575,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
576,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
595,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
606,High,1.0,BlackConcentration (matched on SES_group),
608,High,1.0,BlackConcentration (matched on SES_group),
611,High,1.0,BlackConcentration (matched on SES_group),
619,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
635,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
638,High,1.0,BlackConcentration (matched on SES_group),
648,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
656,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
661,High,1.0,BlackConcentration (matched on SES_group),
667,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
701,High,1.0,BlackConcentration (matched on SES_group),
705,High,1.0,BlackConcentration (matched on SES_group),
710,High,1.0,BlackConcentration (matched on SES_group),
711,High,1.0,BlackConcentration (matched on SES_group),
712,High,1.0,BlackConcentration (matched on SES_group),
713,High,1.0,BlackConcentration (matched on SES_group),
714,High,1.0,BlackConcentration (matched on SES_group),
716,High,1.0,BlackConcentration (matched on SES_group),
717,High,1.0,BlackConcentration (matched on SES_group),
718,High,1.0,BlackConcentration (matched on SES_group),
723,High,1.0,BlackConcentration (matched on SES_group),
725,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
726,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
728,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
731,High,1.0,BlackConcentration (matched on SES_group),
735,High,1.0,BlackConcentration (matched on SES_group),
739,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
741,High,1.0,BlackConcentration (matched on SES_group),
743,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
746,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
749,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
752,High,1.0,BlackConcentration (matched on SES_group),
755,High,1.0,BlackConcentration (matched on SES_group),
756,High,1.0,BlackConcentration (matched on SES_group),
757,High,1.0,BlackConcentration (matched on SES_group),
758,High,1.0,BlackConcentration (matched on SES_group),
759,High,1.0,BlackConcentration (matched on SES_group),
761,High,1.0,BlackConcentration (matched on SES_group),
764,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
765,High,1.0,BlackConcentration (matched on SES_group),
767,High,1.0,BlackConcentration (matched on SES_group),
770,High,1.0,BlackConcentration (matched on SES_group),
776,High,1.0,BlackConcentration (matched on SES_group),
777,High,1.0,BlackConcentration (matched on SES_group),
778,High,1.0,BlackConcentration (matched on SES_group),
783,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
785,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
788,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
798,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
807,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
810,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
855,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
859,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
860,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
864,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
865,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
873,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
877,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
878,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
879,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
880,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
882,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
884,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
891,High,1.0,BlackConcentration (matched on SES_group),
893,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
900,High,1.0,BlackConcentration (matched on SES_group),
903,High,1.0,BlackConcentration (matched on SES_group),
924,High,1.0,BlackConcentration (matched on SES_group),
935,High,1.0,BlackConcentration (matched on SES_group),
936,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
948,High,1.0,BlackConcentration (matched on SES_group),
955,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
958,High,1.0,BlackConcentration (matched on SES_group),
959,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
960,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
974,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
975,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
976,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
978,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
979,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
988,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
989,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
991,Low,1.5924154589371982,BlackConcentration (matched on SES_group),
010,Low,0.5708682356069672,BlackConcentration (matched on SES_group),
